industry,year,quantity_change
212,1953,1.0527091176952037
213,1953,1.0636632699680193
22,1953,1.081556014218553
23,1953,1.0557556901915834
Manufacturing,1953,1.1118029029793735
Durable_Goods,1953,1.1254182074308858
321,1953,1.0029089925076529
327,1953,1.0384003996729947
331,1953,1.2193419740777667
332,1953,1.1204103472452858
333,1953,0.9960907246911305
334,1953,1.1534988713318284
335,1953,0.9892227148382228
3361MV,1953,1.3221060153306483
3364OT,1953,1.0474810384164766
337,1953,1.0912644759273413
339,1953,1.020977011494253
Nondurable_Goods,1953,1.0982115133825994
311FT,1953,1.1625715572136104
313TT,1953,1.0499432205314558
315AL,1953,1.059018791689162
322,1953,1.1335019371502368
323,1953,1.154641485275288
324,1953,0.9716723306162218
325,1953,1.0552527829313543
326,1953,1.0868158284023668
42,1953,1.0249965474381992
44RT,1953,1.0493910690121786
441,1953,0.0
445,1953,0.0
452,1953,0.0
4A0,1953,0.0
Transportation_Warehousing,1953,1.0171268787137366
481,1953,0.0
482,1953,0.0
483,1953,0.0
484,1953,0.0
485,1953,0.0
486,1953,0.0
487OS,1953,0.0
493,1953,0.0
Information,1953,1.0616438356164384
511,1953,0.0
512,1953,0.0
513,1953,0.0
514,1953,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1953,1.0601411475912859
Finance_Insurance,1953,1.1023588277340959
521CI,1953,0.0
523,1953,0.0
524,1953,0.0
525,1953,0.0
RealEstate_Rental_Leasing,1953,1.042793900639449
531,1953,1.0412551283999392
HS,1953,0.0
ORE,1953,0.0
532RL,1953,1.0611504264198874
Professional_BusinessServices,1953,1.0516949152542372
Professional_Scientific_TechnicalServices,1953,1.0565938864628823
5411,1953,0.0
5415,1953,0.0
5412OP,1953,0.0
55,1953,1.023583190483611
Administrative_WasteManagementServices,1953,1.1047193521362748
561,1953,0.0
562,1953,0.0
EducationalServices_HealthCare_SocialAssistance,1953,1.043845485032915
61,1953,1.0484169407894737
622HO,1953,1.042605225897799
621,1953,0.0
622,1953,0.0
623,1953,0.0
624,1953,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1953,1.0156368221941994
Arts_Entertainment_Recreation,1953,0.9976935749588138
711AS,1953,0.0
713,1953,0.0
Accommodation_FoodServices,1953,1.0188721235589977
721,1953,1.018096623040879
722,1953,1.0189649263109792
81,1953,1.0312038404726735
Government,1953,1.0572597852320822
Federal,1953,1.067804336623459
GFG,1953,1.067213945870057
GFGD,1953,0.0
GFGN,1953,0.0
GFE,1953,1.0785639686684074
State_Local,1953,1.0332533424751456
GSLG,1953,1.0325154598045083
GSLE,1953,1.0392776899392528
Private_Goods_Industries,1953,1.093427879626427
Private_Services_Industries,1953,1.0437185515136518
Information_Communications_Technology_Industries,1953,0.0
All_Industries,1954,0.99210686095932
Private_Industries,1954,0.9978659837814768
