industry,year,price_change
524,1952,0.0
525,1952,0.0
RealEstate_Rental_Leasing,1952,1.0489387264717662
531,1952,1.0503123417187237
HS,1952,0.0
ORE,1952,0.0
532RL,1952,1.0318832496746608
Professional_BusinessServices,1952,1.033398637932643
Professional_Scientific_TechnicalServices,1952,1.044327497216881
5411,1952,0.0
5415,1952,0.0
5412OP,1952,0.0
55,1952,1.0457949925101646
Administrative_WasteManagementServices,1952,0.9770489665514768
561,1952,0.0
562,1952,0.0
EducationalServices_HealthCare_SocialAssistance,1952,1.0548529876699337
61,1952,1.0510406342913776
622HO,1952,1.0558232264495764
621,1952,0.0
622,1952,0.0
623,1952,0.0
624,1952,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1952,1.0435030937648737
Arts_Entertainment_Recreation,1952,1.0438622605934307
711AS,1952,0.0
713,1952,0.0
Accommodation_FoodServices,1952,1.0434044159275333
721,1952,1.045462314134336
722,1952,1.042987745574791
81,1952,1.0375543660086985
Government,1952,1.0229416263063982
Federal,1952,1.0110333121154254
GFG,1952,1.0094173652074925
GFGD,1952,0.0
GFGN,1952,0.0
GFE,1952,1.0443127293254304
State_Local,1952,1.0482900337589902
GSLG,1952,1.0485554379065196
GSLE,1952,1.0457468753792016
Private_Goods_Industries,1952,0.9915559674595819
Private_Services_Industries,1952,1.0340909090909092
Information_Communications_Technology_Industries,1952,0.0
All_Industries,1953,1.0069015860375605
Private_Industries,1953,1.0051429621012675
Agriculture_Forestry_Fishing_Hunting,1953,0.8888855878071245
111CA,1953,0.8852864478318143
113FF,1953,0.9384825700615174
Mining,1953,1.0368763557483731
211,1953,1.0562581770606192
212,1953,1.0238459679368404
213,1953,1.028287841191067
22,1953,1.0379730260573523
23,1953,1.0081243018178125
Manufacturing,1953,0.9998626688029297
Durable_Goods,1953,1.025384967220613
321,1953,0.9990543970537004
327,1953,1.0367897727272728
331,1953,1.0441713974648106
332,1953,1.0188679245283019
333,1953,1.0241890872516972
334,1953,1.0648689573730523
335,1953,1.1066907775768537
3361MV,1953,0.9975282485875707
3364OT,1953,1.0198348274158255
337,1953,1.0108595725120662
339,1953,1.014627327642155
Nondurable_Goods,1953,0.9746605805243446
311FT,1953,0.9466479137365215
313TT,1953,0.9668990488543018
315AL,1953,0.9869523462595623
322,1953,0.9886055678738604
323,1953,1.0285787517621428
324,1953,1.0207153502235469
325,1953,1.0016331330023518
326,1953,0.9815315735472437
42,1953,0.9941038078364169
44RT,1953,0.9952832716942702
441,1953,0.0
445,1953,0.0
452,1953,0.0
4A0,1953,0.0
Transportation_Warehousing,1953,1.0300305700413595
481,1953,0.0
482,1953,0.0
483,1953,0.0
484,1953,0.0
485,1953,0.0
486,1953,0.0
487OS,1953,0.0
493,1953,0.0
Information,1953,1.0279490880461881
511,1953,0.0
512,1953,0.0
513,1953,0.0
514,1953,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1953,1.05242747408457
Finance_Insurance,1953,1.0504208110175974
521CI,1953,0.0
523,1953,0.0
524,1953,0.0
525,1953,0.0
RealEstate_Rental_Leasing,1953,1.0533750763591936
531,1953,1.0545732197395916
HS,1953,0.0
ORE,1953,0.0
532RL,1953,1.037834429330691
Professional_BusinessServices,1953,1.031958111402004
Professional_Scientific_TechnicalServices,1953,1.0352747359240235
5411,1953,0.0
5415,1953,0.0
5412OP,1953,0.0
55,1953,1.0431757724575406
Administrative_WasteManagementServices,1953,0.9981314647981315
561,1953,0.0
562,1953,0.0
EducationalServices_HealthCare_SocialAssistance,1953,1.038363554623108
61,1953,1.0357142857142858
622HO,1953,1.0390243902439023
621,1953,0.0
622,1953,0.0
623,1953,0.0
624,1953,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1953,1.0237182995803684
Arts_Entertainment_Recreation,1953,1.0391672212187468
711AS,1953,0.0
713,1953,0.0
Accommodation_FoodServices,1953,1.0209802857659613
721,1953,1.0398070949812
722,1953,1.0175307720999627
81,1953,1.029826682789198
Government,1953,1.0214303513580862
Federal,1953,1.0173137460650579
GFG,1953,1.0171211810539267
GFGD,1953,0.0
GFGN,1953,0.0
GFE,1953,1.0218918918918918
State_Local,1953,1.0310837300476057
GSLG,1953,1.0301500288517023
GSLE,1953,1.0384079832907867
Private_Goods_Industries,1953,0.9907570879634437
Private_Services_Industries,1953,1.0247777700007
Information_Communications_Technology_Industries,1953,0.0
All_Industries,1954,1.0087655704211427
Private_Industries,1954,1.0063348967533654
Agriculture_Forestry_Fishing_Hunting,1954,0.9635348775025903
111CA,1954,0.9636805344670514
113FF,1954,0.9617956697344898
Mining,1954,0.9794717573221757
211,1954,1.0196118909991743
212,1954,0.9534188370446142
213,1954,0.9573680823680822
22,1954,1.0295193641983096
23,1954,0.9933514656996072
Manufacturing,1954,1.0046241186704516
Durable_Goods,1954,0.9998141402126235
321,1954,0.9862010560924579
327,1954,1.0297986025482941
331,1954,1.0360467714306993
332,1954,1.0073099415204678
333,1954,1.015123244623392
334,1954,0.888262360763937
335,1954,0.915032679738562
3361MV,1954,1.002433628318584
3364OT,1954,1.0110049833887043
337,1954,0.9979537315977945
339,1954,1.0092993505215508
Nondurable_Goods,1954,1.0095466826778745
311FT,1954,1.0301604595879554
313TT,1954,0.9572981583433474
315AL,1954,0.9877864644498876
322,1954,1.0057940315245155
323,1954,1.0118365312733617
324,1954,1.0154767119287487
325,1954,1.0058044740103047
326,1954,1.0022332034590897
42,1954,1.0102845789750483
44RT,1954,1.0175022887608378
441,1954,0.0
445,1954,0.0
452,1954,0.0
4A0,1954,0.0
Transportation_Warehousing,1954,0.9895833333333333
481,1954,0.0
482,1954,0.0
483,1954,0.0
484,1954,0.0
485,1954,0.0
486,1954,0.0
487OS,1954,0.0
493,1954,0.0
Information,1954,1.0165517828269934
511,1954,0.0
512,1954,0.0
513,1954,0.0
514,1954,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1954,1.0170776643990929
Finance_Insurance,1954,1.0260033505717825
521CI,1954,0.0
523,1954,0.0
524,1954,0.0
525,1954,0.0
RealEstate_Rental_Leasing,1954,1.0131931859369336
531,1954,1.0133373980641718
HS,1954,0.0
ORE,1954,0.0
532RL,1954,1.0117177328356912
Professional_BusinessServices,1954,1.0244073134458929
Professional_Scientific_TechnicalServices,1954,1.0251801928297295
5411,1954,0.0
5415,1954,0.0
5412OP,1954,0.0
55,1954,1.0393291486857592
Administrative_WasteManagementServices,1954,0.9907735508457578
561,1954,0.0
562,1954,0.0
EducationalServices_HealthCare_SocialAssistance,1954,1.0398325876749892
61,1954,1.0365312393308297
622HO,1954,1.0405876116916555
621,1954,0.0
622,1954,0.0
623,1954,0.0
624,1954,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1954,1.0351096061308145
Arts_Entertainment_Recreation,1954,1.0339401701582656
711AS,1954,0.0
713,1954,0.0
Accommodation_FoodServices,1954,1.0353410097431357
721,1954,1.0384403741844195
722,1954,1.034732404692082
81,1954,1.0259099804305283
Government,1954,1.029519394974384
Federal,1954,1.0285714285714285
GFG,1954,1.0298357020461648
GFGD,1954,0.0
GFGN,1954,0.0
GFE,1954,1.0089923300714096
State_Local,1954,1.0315046170559479
GSLG,1954,1.0323484105867526
GSLE,1954,1.0250307296904682
Private_Goods_Industries,1954,0.9982704402515724
Private_Services_Industries,1954,1.0171436377296632
Information_Communications_Technology_Industries,1954,0.0
All_Industries,1955,1.017248137985104
Private_Industries,1955,1.0140427334907087
Agriculture_Forestry_Fishing_Hunting,1955,0.9560843624254198
111CA,1955,0.9514716077393331
113FF,1955,1.0143879939418972
Mining,1955,1.0198905353090375
211,1955,1.0036444624417897
212,1955,1.0255013617231987
213,1955,1.040245336918165
22,1955,1.0393334150226687
23,1955,1.0176452692424702
Manufacturing,1955,1.015768126509593
Durable_Goods,1955,1.0459159014016435
321,1955,1.0326817194524422
327,1955,1.0322623561498039
331,1955,1.0661347135360506
332,1955,1.0438869306793834
333,1955,1.0327464448099062
334,1955,1.1049420316849827
335,1955,1.099384236453202
3361MV,1955,1.0347826086956522
3364OT,1955,1.0384747039090847
337,1955,1.0126445292475936
339,1955,1.0074586847365086
Nondurable_Goods,1955,0.9850124895920067
311FT,1955,0.9491851353300322
313TT,1955,1.002131075755364
315AL,1955,0.9979618872923673
322,1955,1.0237859266600595
323,1955,1.030353404753109
324,1955,1.010352264557872
325,1955,1.001621060822202
326,1955,1.0645237756601718
42,1955,1.0153276649892993
44RT,1955,0.9883031650259342
441,1955,0.0
445,1955,0.0
452,1955,0.0
4A0,1955,0.0
Transportation_Warehousing,1955,1.0218171126139373
481,1955,0.0
482,1955,0.0
483,1955,0.0
484,1955,0.0
485,1955,0.0
486,1955,0.0
487OS,1955,0.0
493,1955,0.0
Information,1955,1.020467958645515
511,1955,0.0
512,1955,0.0
513,1955,0.0
514,1955,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1955,1.0335818295826658
Finance_Insurance,1955,1.0352122674996451
521CI,1955,0.0
523,1955,0.0
524,1955,0.0
525,1955,0.0
RealEstate_Rental_Leasing,1955,1.0328396651641982
531,1955,1.0333182912154033
HS,1955,0.0
ORE,1955,0.0
