"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    24","      Miscellaneous manufacturing",19.333,20.729,21.142,23.885,23.246,24.360,24.871,24.016,25.885,26.714,26.292,21.675,24.254,25.197,26.284,27.274,29.181,30.536,32.792,34.268,35.674,37.390,39.539,38.227,38.387,44.062,44.913,43.098,41.118,43.224,46.802,47.489,47.478,44.488,46.518,47.177,45.987,48.448,48.854,49.595,57.425,61.455,61.761,64.372,64.866,67.310,70.741,71.381,73.880,77.367,79.619
"    25","    Nondurable goods",28.803,27.548,29.173,31.534,31.280,32.206,35.369,34.992,37.455,38.123,37.710,40.308,43.717,44.258,44.933,46.972,47.808,50.108,52.140,54.311,56.457,58.704,60.551,59.971,61.753,65.801,68.224,69.542,66.815,72.482,77.099,79.162,79.909,76.488,76.346,75.401,78.063,80.753,81.283,82.218,89.179,91.858,93.440,93.690,93.813,95.989,97.299,100.366,101.461,101.439,106.092
"    26","      Food and beverage and tobacco products",31.164,28.422,30.975,31.321,30.235,31.094,36.149,36.165,37.517,38.334,37.318,39.744,42.346,43.872,44.685,46.050,45.782,47.449,47.585,48.366,51.061,51.632,52.459,53.039,54.511,57.826,58.457,61.609,60.524,64.190,64.996,66.861,66.684,67.595,68.862,70.452,70.527,71.538,73.512,74.122,77.745,79.761,81.899,81.817,83.170,84.955,85.496,87.092,89.539,88.426,91.674
"    27","      Textile mills and textile product mills",78.910,74.617,82.114,91.898,85.675,88.060,92.458,86.705,93.199,90.024,85.773,93.515,103.559,100.370,103.590,110.475,114.216,121.178,128.276,136.222,138.859,144.205,146.500,142.727,151.321,165.116,167.374,152.291,149.113,165.337,182.823,180.722,180.083,168.389,162.716,150.124,168.388,170.753,164.281,169.536,191.908,192.516,195.180,186.696,184.954,196.067,205.440,216.886,213.652,210.251,217.178
"    28","      Apparel and leather and allied products",271.311,258.835,272.926,276.098,260.633,287.095,304.039,309.809,330.060,332.019,331.779,348.145,362.534,359.677,354.502,368.408,382.705,394.597,411.998,417.203,438.853,454.192,461.280,443.305,457.385,448.306,455.967,428.225,423.382,435.290,456.566,463.596,438.925,443.176,444.094,446.806,454.998,454.465,439.083,432.019,471.829,472.120,449.469,441.848,442.078,464.810,470.035,479.080,471.541,462.736,486.177
"    29","      Paper products",33.032,30.630,30.982,36.255,39.292,37.168,42.130,42.612,47.165,47.838,45.243,42.736,50.806,49.022,50.552,53.535,57.271,59.728,63.886,68.077,69.400,72.997,77.912,76.266,76.538,82.440,88.668,89.249,80.865,88.284,93.788,98.341,98.152,95.231,95.833,96.236,101.774,105.239,104.972,109.634,112.615,116.871,118.442,118.433,118.580,119.881,120.670,125.170,126.235,124.809,127.272
"    30","      Printing and related support activities",26.048,29.583,29.933,30.730,30.001,31.240,36.071,38.400,40.926,42.422,42.948,62.109,63.200,63.056,61.931,62.275,45.113,47.115,51.019,54.062,55.298,57.857,60.532,59.870,59.406,65.834,68.998,67.873,64.524,69.067,75.020,79.688,81.757,82.254,84.177,89.830,94.217,101.528,104.608,108.050,120.331,123.612,125.013,128.327,122.911,128.170,126.363,126.498,128.828,130.248,134.270
"    31","      Petroleum and coal products",30.848,30.823,29.037,36.799,40.438,42.079,40.887,41.613,45.716,48.888,49.135,47.209,48.694,49.620,48.889,49.867,51.962,55.291,55.982,58.120,61.718,65.120,66.795,65.636,66.087,67.416,65.917,72.491,74.663,83.606,90.652,91.090,97.956,89.124,85.434,83.460,82.217,82.166,79.893,79.883,82.421,85.027,84.976,84.657,85.282,82.542,81.978,83.771,85.288,86.742,90.269
"    32","      Chemical products",11.448,12.940,13.616,16.147,16.877,17.248,18.201,16.980,18.991,19.542,19.729,21.638,24.830,25.451,26.576,28.903,32.007,34.147,37.128,40.097,40.471,43.253,45.241,44.931,46.417,50.456,55.255,57.015,52.035,57.984,63.225,65.726,66.427,60.547,60.611,56.337,62.303,67.353,68.570,68.531,79.138,82.509,85.016,86.223,86.155,88.353,90.016,93.455,92.848,93.347,99.804
"    33","      Plastics and rubber products",9.386,8.578,8.272,10.145,10.952,10.816,11.755,10.629,12.309,11.652,14.181,17.318,20.429,20.457,20.804,22.861,24.185,26.107,29.053,31.442,32.827,36.549,39.840,38.330,41.703,48.741,55.073,53.164,46.216,50.845,59.584,61.925,60.797,55.430,57.874,57.715,62.613,70.197,72.566,74.739,85.453,89.235,91.420,93.765,91.759,97.254,103.076,111.117,113.411,117.068,124.397
