"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    79","      Nursing and residential care facilities",65.003,67.437,69.649,72.961,76.827,79.563,82.110,85.063,88.000,90.617,94.184,97.440,100.000,101.718,103.774,105.136,106.197,107.611,109.826,112.585,"115.208(u)"
"    80","      Social assistance",69.704,72.063,74.437,77.877,80.220,82.790,84.926,87.086,90.167,93.154,96.197,98.693,100.000,102.003,104.654,106.361,108.835,111.341,114.105,116.720,"120.031(u)"
"    81","  Arts, entertainment, recreation, accommodation, and food services",70.022,71.851,74.074,76.302,78.752,80.439,82.167,84.641,87.807,90.836,94.343,98.047,100.000,100.898,102.417,105.255,107.330,109.920,112.811,115.433,117.625
"    82","    Arts, entertainment, and recreation",69.638,71.433,74.543,77.728,80.157,81.830,84.217,86.634,89.697,92.872,96.115,98.851,100.000,100.628,101.544,103.933,105.570,107.614,110.728,113.423,115.160
"    83","      Performing arts, spectator sports, museums, and related activities",65.263,66.975,70.798,74.487,77.286,79.090,81.515,84.506,88.375,91.642,95.244,98.413,100.000,101.066,101.869,104.143,105.820,107.962,111.755,115.095,"117.252(u)"
"    84","      Amusements, gambling, and recreation industries",74.654,76.549,78.918,81.571,83.577,85.084,87.413,89.117,91.227,94.295,97.127,99.365,100.000,100.114,101.159,103.680,105.272,107.204,109.541,111.515,"112.782(u)"
"    85","    Accommodation and food services",70.073,71.910,73.868,75.815,78.269,79.958,81.488,83.978,87.173,90.155,93.746,97.772,100.000,100.991,102.716,105.707,107.930,110.706,113.522,116.120,118.474
"    86","      Accommodation",71.942,74.323,76.955,79.233,82.206,82.809,83.834,86.128,90.478,93.925,98.263,101.610,100.000,100.074,102.228,104.989,107.045,110.385,112.578,114.873,"116.675(u)"
"    87","      Food services and drinking places",69.466,71.102,72.811,74.634,76.896,78.974,80.685,83.247,86.022,88.837,92.160,96.430,100.000,101.302,102.883,105.951,108.232,110.814,113.842,116.542,"119.078(u)"
"    88","  Other services, except government",68.681,70.347,72.334,74.951,77.810,80.100,82.139,84.562,87.672,90.965,94.132,97.568,100.000,102.159,104.517,106.868,109.538,111.930,114.311,116.398,118.691
