"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    59","      Funds, trusts, and other financial vehicles",64.647,74.139,85.165,100.369,90.631,77.571,74.537,83.753,89.008,96.058,109.264,112.119,100.000,103.362,106.812,102.897,115.668,115.911,127.768,117.572,"126.445(u)"
"    60","    Real estate and rental and leasing",72.172,75.319,78.487,82.505,84.589,86.935,90.811,97.093,104.892,105.990,105.571,103.310,100.000,102.655,104.492,107.315,110.216,115.437,117.368,120.331,122.811
"    61","      Real estate",71.796,73.957,76.624,80.416,82.834,85.874,89.624,96.304,104.364,105.399,104.826,101.835,100.000,102.263,103.704,106.324,108.862,113.741,115.754,118.815,"121.149(u)"
"    62","        Housing",76.370,78.678,81.280,83.725,86.411,86.824,87.832,90.626,94.629,97.229,97.728,99.284,100.000,100.821,102.593,103.194,103.342,104.949,107.420,109.244,"110.590(u)"
"    63","        Other real estate",63.695,65.593,68.400,74.753,76.680,84.856,94.055,108.536,124.758,122.669,119.892,107.327,100.000,105.432,106.139,113.267,121.188,133.524,134.463,140.422,"145.093(u)"
"    64","      Rental and leasing services and lessors of intangible assets",76.111,88.189,96.029,102.161,101.140,96.848,101.932,104.396,109.692,111.389,112.435,117.068,100.000,106.287,111.773,116.467,122.740,131.160,132.288,134.256,"138.201(u)"
"    65","  Professional and business services",71.565,78.090,82.538,86.587,86.776,86.088,88.701,92.072,96.822,99.895,104.254,106.079,100.000,104.034,108.554,112.944,114.625,120.919,124.662,128.155,132.095
"    66","    Professional, scientific, and technical services",69.894,76.071,80.703,85.366,86.533,86.273,87.945,91.150,94.838,97.516,102.023,104.916,100.000,102.590,105.890,108.973,109.390,114.051,116.690,120.268,122.021
"    67","      Legal services",91.966,96.698,100.266,100.575,102.905,104.236,111.200,110.019,109.834,109.972,109.042,105.537,100.000,97.997,97.570,97.281,94.987,93.991,95.018,95.824,"96.156(u)"
"    68","      Computer systems design and related services",48.688,61.577,72.398,78.944,77.413,74.210,73.993,76.015,80.866,84.597,94.185,101.361,100.000,109.628,117.212,124.474,125.962,132.371,133.701,142.958,"147.051(u)"
