"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    24","      Miscellaneous manufacturing",17.934,18.695,18.557,19.024,20.374,20.031,20.324,20.513,20.666,21.429,21.792,22.013,22.209,22.391,22.319,22.346,22.222,22.354,22.660,23.235,23.867,24.582,25.195,26.055,26.975,27.648,29.357,33.674,36.847,38.633,40.962,44.349,49.363,57.710,60.858,62.998,64.814,66.023,66.394,67.204,68.052,70.846,73.996,76.577,78.568,80.388,81.997,83.463,85.341,85.989,83.987
"    25","    Nondurable goods",15.376,16.222,15.266,15.667,17.746,17.088,16.655,16.814,16.562,16.819,17.268,17.539,17.522,17.573,17.581,17.670,17.642,17.673,18.002,18.589,18.706,19.043,19.588,20.193,20.582,21.357,23.667,28.341,31.251,32.242,33.956,36.009,40.945,48.388,52.988,53.235,52.939,54.264,53.884,51.461,53.092,55.806,58.834,61.295,61.311,61.588,61.920,62.538,66.189,67.697,67.608
"    26","      Food and beverage and tobacco products",18.882,20.471,18.554,19.010,21.650,21.330,20.192,20.801,19.744,19.604,20.336,21.425,21.032,20.984,21.328,21.457,21.464,21.536,22.164,23.288,23.139,23.664,24.774,25.800,26.268,27.360,31.491,35.297,37.978,37.410,39.015,42.427,46.437,49.958,52.383,53.125,54.533,56.557,55.664,56.428,57.774,60.702,63.790,66.282,66.946,67.620,68.346,68.620,69.608,72.644,73.167
"    27","      Textile mills and textile product mills",36.460,38.412,34.766,37.226,42.060,37.008,35.783,34.255,34.328,34.244,34.099,33.104,33.755,34.098,33.251,33.771,33.870,34.342,34.607,34.881,34.750,36.494,37.087,37.169,37.425,39.725,44.105,51.600,50.176,53.570,54.800,56.816,60.141,66.044,72.047,72.814,72.952,74.910,74.438,74.858,76.436,79.693,81.591,83.254,84.183,84.887,84.848,85.160,87.922,89.188,89.613
"    28","      Apparel and leather and allied products",30.381,31.176,28.934,29.734,33.300,30.197,29.803,29.439,29.379,30.409,30.397,30.331,31.588,31.837,31.872,32.257,32.198,32.666,33.046,34.331,34.256,35.400,36.876,37.513,38.090,40.558,42.364,46.006,47.574,50.671,53.983,56.505,60.903,65.248,70.220,72.847,74.221,75.722,76.807,77.870,79.545,82.202,84.813,87.426,89.112,90.534,91.407,91.842,92.945,93.607,93.929
"    29","      Paper products",13.438,14.164,13.673,14.008,16.545,16.236,16.051,16.144,16.528,17.662,18.087,18.182,18.228,18.460,17.929,18.082,17.945,18.004,18.213,18.708,19.076,19.205,19.797,20.605,20.919,21.520,22.963,28.243,32.062,33.550,34.716,36.247,40.706,46.166,50.073,51.007,50.861,54.386,54.414,54.654,57.768,62.853,66.559,66.713,65.538,65.756,65.310,67.822,82.150,76.426,73.151
"    30","      Printing and related support activities",12.459,13.220,13.601,13.920,14.889,15.606,16.052,16.242,16.735,17.405,18.101,18.432,18.789,19.289,19.299,19.596,19.976,20.100,20.262,20.834,21.658,22.312,23.271,24.437,25.340,25.891,27.330,30.928,34.373,36.361,38.760,41.166,44.911,49.453,53.846,56.563,57.916,60.611,62.566,63.911,65.939,68.446,71.169,73.043,74.675,75.890,78.616,80.652,85.544,87.477,87.164
"    31","      Petroleum and coal products",5.500,5.323,6.087,5.975,6.673,6.710,6.849,6.955,7.027,7.349,7.787,7.473,7.439,7.419,7.407,7.300,7.229,6.968,7.189,7.408,7.534,7.393,7.458,7.614,8.024,8.215,10.353,16.027,18.580,19.939,22.070,23.428,31.006,45.509,53.579,51.271,47.453,46.200,44.571,31.201,32.886,31.859,35.369,41.994,38.511,37.454,36.401,35.290,36.529,41.082,40.509
"    32","      Chemical products",14.016,14.645,14.038,14.102,15.815,15.308,15.333,15.422,15.447,15.538,15.757,15.851,15.852,15.890,15.828,15.856,15.723,15.826,15.955,16.133,16.493,16.579,16.599,16.988,17.190,17.571,18.334,22.996,27.132,28.284,29.483,30.628,34.635,41.867,45.860,46.347,46.218,47.624,48.070,47.433,49.021,53.386,56.245,57.045,58.268,58.642,59.132,60.363,65.460,66.222,66.774
"    33","      Plastics and rubber products",17.203,17.923,17.631,19.181,22.284,21.442,21.046,21.093,22.454,23.426,23.726,24.024,23.537,23.251,22.749,22.550,22.617,22.298,22.447,22.949,23.310,23.619,23.792,24.775,25.194,25.722,26.703,32.103,36.477,38.868,40.955,43.037,47.792,53.306,57.005,59.004,59.612,61.476,61.463,61.727,62.426,65.891,68.389,69.238,70.615,70.963,71.833,73.044,77.087,76.795,76.586
"    34","  Wholesale trade",29.049,30.978,30.225,31.849,34.654,34.429,34.226,34.578,35.108,36.382,37.544,37.793,38.622,38.602,38.658,38.797,39.023,39.759,40.414,41.684,42.116,43.237,44.646,44.511,43.567,43.077,46.101,50.369,53.059,54.745,55.653,58.888,63.140,68.406,71.418,71.747,73.436,74.543,75.843,71.990,75.530,78.799,79.104,82.086,82.150,81.009,82.849,85.902,89.259,86.655,84.150
"    35","  Retail trade",16.326,17.626,17.312,16.827,18.225,18.657,18.569,18.894,18.673,19.158,19.766,20.215,20.570,20.825,21.290,21.423,21.699,22.356,22.633,23.173,24.309,25.539,27.426,28.752,30.129,30.869,32.626,35.877,38.801,41.116,43.891,46.947,50.943,56.225,61.076,64.323,67.146,69.567,71.864,73.515,76.277,75.738,77.836,79.373,81.354,82.224,84.299,85.549,86.665,85.879,85.169
"    36","    Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    37","    Food and beverage stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    38","    General merchandise stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    39","    Other retail","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    40","  Transportation and warehousing",13.672,14.969,15.604,15.387,16.086,16.683,17.184,17.005,17.376,17.541,18.372,18.701,19.194,19.489,19.658,20.100,19.573,19.625,20.182,20.503,20.884,21.649,22.962,23.824,25.555,26.469,27.317,29.770,32.035,33.608,36.746,39.528,43.441,49.802,55.522,56.781,56.706,58.373,59.187,59.411,60.135,61.668,62.943,64.691,65.133,65.148,66.578,67.133,68.164,68.636,70.063
"    41","    Air transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",22.526,22.209,22.211,22.379,22.151,22.394,23.838,25.696,27.476,28.202,29.970,34.772,35.715,37.291,39.480,38.990,40.908,51.176,55.468,53.679,53.178,55.871,54.538,53.619,55.566,58.680,58.808,59.032,61.268,60.343,62.610,61.509,62.082,60.780,62.774
"    42","    Rail transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",18.941,18.633,18.377,18.280,18.488,19.286,20.732,21.203,23.493,23.215,23.848,27.573,31.148,34.111,36.462,39.087,44.542,51.770,59.302,63.391,64.267,67.087,67.547,68.155,67.935,68.090,67.422,67.400,66.091,65.769,66.488,67.150,67.236,67.277,67.838
"    43","    Water transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",23.662,24.070,24.851,26.619,27.708,27.939,26.806,26.613,26.604,26.862,26.707,31.973,35.488,36.413,36.824,38.690,45.370,49.551,52.363,52.607,58.007,59.646,63.577,63.579,64.226,66.146,66.445,66.996,69.138,68.674,69.160,69.469,71.526,72.023,72.241
"    44","    Truck transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",19.486,19.734,21.429,21.802,22.244,23.942,26.330,27.036,29.318,31.822,32.783,33.663,35.541,35.965,40.520,44.795,49.080,54.638,61.675,62.028,59.079,59.265,60.900,61.754,62.779,62.937,65.220,68.135,67.051,66.996,68.056,68.982,70.141,70.542,72.204
"    45","    Transit and ground passenger transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",13.211,13.592,13.852,14.296,14.949,15.487,16.260,17.396,18.685,19.176,19.845,21.297,23.136,24.841,26.428,27.742,29.351,33.559,38.645,41.033,41.944,44.976,47.397,48.229,49.533,52.811,53.556,55.683,59.256,61.489,61.910,61.967,63.873,66.766,67.513
"    46","    Pipeline transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",16.693,16.608,16.782,16.723,16.956,16.808,17.190,18.001,19.211,20.312,20.757,23.007,27.223,30.672,37.831,46.604,51.981,59.394,65.381,70.113,74.721,76.705,74.095,70.874,64.024,63.239,64.255,65.136,64.326,65.738,68.407,69.911,68.044,72.285,74.311
"    47","    Other transportation and support activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",19.443,19.586,19.932,20.466,21.057,21.063,21.580,22.462,23.401,23.655,24.303,25.324,26.902,28.472,31.382,33.695,36.617,41.236,46.037,47.658,47.239,48.573,50.244,51.421,53.322,55.733,58.296,61.331,61.918,62.507,64.018,66.044,68.142,69.754,70.857
"    48","    Warehousing and storage","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",24.595,24.862,26.364,26.768,27.197,28.972,31.376,32.314,34.591,37.110,38.227,39.244,41.408,41.869,47.186,52.147,57.122,63.558,71.788,72.115,68.566,68.743,70.606,72.886,71.665,71.943,74.614,77.982,76.733,76.675,77.817,78.411,79.787,80.239,80.787
"    49","  Information",17.745,19.129,19.836,20.789,21.855,22.863,23.502,23.891,24.380,25.339,26.002,26.647,27.633,28.120,28.416,28.738,28.928,29.396,29.688,30.045,30.725,31.468,32.499,33.784,35.409,36.941,38.453,40.762,43.674,45.830,47.532,49.264,51.184,53.998,58.462,63.438,67.122,71.183,73.936,76.730,78.335,80.205,82.477,84.984,87.983,89.154,90.715,92.223,94.069,96.152,98.061
"    50","    Publishing industries, except internet (includes software)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",21.301,21.782,22.272,22.997,23.520,24.347,25.496,27.072,28.322,29.289,30.712,33.147,36.855,39.096,41.358,43.441,46.486,50.275,54.359,58.511,61.252,63.511,65.472,66.908,69.219,71.576,73.010,74.853,77.477,77.691,79.306,80.156,82.079,83.266,83.804
"    51","    Motion picture and sound recording industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",15.786,16.421,17.157,17.934,18.617,19.728,20.667,22.040,23.130,23.749,24.707,26.418,28.609,29.791,30.965,32.910,35.081,37.012,39.062,41.178,43.628,46.080,48.393,50.539,52.619,55.087,59.025,63.928,67.504,68.218,69.002,71.112,73.390,76.463,78.238
"    52","    Broadcasting and telecommunications","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",40.085,40.384,40.208,39.958,40.698,41.126,42.026,42.981,45.033,47.351,48.972,51.485,53.913,56.170,57.486,58.830,59.782,62.187,67.568,73.828,78.292,83.982,87.317,91.154,92.106,93.294,95.395,97.364,100.320,101.922,103.576,105.157,106.571,108.815,111.504
"    53","    Data processing, internet publishing, and other information services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",16.682,17.069,17.513,18.030,18.665,19.322,20.134,21.126,22.397,23.185,25.028,26.218,29.755,32.675,35.575,37.631,40.614,43.933,48.236,53.053,56.907,59.544,61.822,63.570,65.587,68.580,71.242,74.281,77.297,80.177,82.301,84.327,87.292,89.355,91.693
