year,industry,description,direction,complements,substitutes,other
2015,487OS,Other transportation and support activities,downstream,0.055132338896477104,0.0,0.9448676611035229
2015,487OS,Other transportation and support activities,upstream,0.07261254844227298,0.008991153788782645,0.9183962977689444
2015,493,Warehousing and storage,downstream,0.015443643786837446,0.005740360150877731,0.9788159960622848
2015,493,Warehousing and storage,upstream,0.11820212909518554,0.007170152815541504,0.874627718089273
2015,511,"Publishing industries, except internet (includes software)",downstream,0.01642829332379183,0.0,0.9835717066762082
2015,511,"Publishing industries, except internet (includes software)",upstream,0.04552452858045221,0.0,0.9544754714195478
2015,512,Motion picture and sound recording industries,downstream,0.0,0.0,1.0
2015,512,Motion picture and sound recording industries,upstream,0.1509353517975177,0.0,0.8490646482024823
2015,513,Broadcasting and telecommunications,downstream,0.15150425070916043,0.0025142842575213,0.8459814650333183
2015,513,Broadcasting and telecommunications,upstream,0.046400102064125856,0.00877879340739799,0.9448211045284762
2015,514,"Data processing, internet publishing, and other information services",downstream,0.0,0.0092396704269714,0.9907603295730286
2015,514,"Data processing, internet publishing, and other information services",upstream,0.06101911910497665,0.002494009265910484,0.9364868716291128
2015,521CI,"Federal Reserve banks, credit intermediation, and related activities",downstream,0.167667746021175,0.0267796260536222,0.8055526279252028
2015,521CI,"Federal Reserve banks, credit intermediation, and related activities",upstream,0.02338739857440385,0.004076819020725551,0.9725357824048706
2015,523,"Securities, commodity contracts, and investments",downstream,0.0018938193877747751,0.0003204193262098219,0.9977857612860154
2015,523,"Securities, commodity contracts, and investments",upstream,0.015974011735095838,0.0,0.9840259882649042
2015,524,Insurance carriers and related activities,downstream,0.020919877901341095,0.002653908924007043,0.9764262131746518
2015,524,Insurance carriers and related activities,upstream,0.07782234846349557,0.00212463358851676,0.9200530179479877
2015,525,"Funds, trusts, and other financial vehicles",downstream,0.0,0.0,1.0
2015,525,"Funds, trusts, and other financial vehicles",upstream,0.049154130941137006,0.0,0.950845869058863
2015,532RL,Rental and leasing services and lessors of intangible assets,downstream,0.08949405762434556,0.0,0.9105059423756544
2015,532RL,Rental and leasing services and lessors of intangible assets,upstream,0.12480934135411834,0.0,0.8751906586458816
2015,5411,Legal services,downstream,0.13953229333192152,0.002055088272302327,0.8584126183957762
2015,5411,Legal services,upstream,0.09399459929958238,0.009847078742684668,0.8961583219577329
2015,5412OP,"Miscellaneous professional, scientific, and technical services",downstream,0.04755755926379987,0.0871393216124144,0.8653031191237857
2015,5412OP,"Miscellaneous professional, scientific, and technical services",upstream,0.02675601665003798,0.042093308865306996,0.9311506744846549
2015,5415,Computer systems design and related services,downstream,0.0,0.001241713760535,0.998758286239465
2015,5415,Computer systems design and related services,upstream,0.10200050235368738,0.00622751758312403,0.8917719800631886
2015,55,Management of companies and enterprises,downstream,0.02930392930747067,0.16488598129310242,0.8058100893994269
2015,55,Management of companies and enterprises,upstream,0.0961583192171875,0.27949479146331974,0.6243468893194928
2015,561,Administrative and support services,downstream,0.028093823166993246,0.007197016269610905,0.9647091605633958
2015,561,Administrative and support services,upstream,0.07593543849582475,0.14393048893049595,0.7801340725736793
2015,562,Waste management and remediation services,downstream,0.05289398514213327,0.05521214740709111,0.8918938674507756
2015,562,Waste management and remediation services,upstream,0.068425994783204,0.0457524396507447,0.8858215655660513
2015,61,Educational services,downstream,0.0,0.3638031407465388,0.6361968592534613
2015,61,Educational services,upstream,0.10973041323976121,0.01908374756691799,0.8711858391933208
2015,621,Ambulatory health care services,downstream,0.0,0.3721927599723311,0.6278072400276689
2015,621,Ambulatory health care services,upstream,0.045931958123474406,0.24385616861945478,0.7102118732570708
2015,624,Social assistance,downstream,0.0,0.0,1.0
2015,624,Social assistance,upstream,0.12460724106436812,0.05088420910812494,0.8245085498275069
